,Village_Area_Name,Beat_Name,Year,count
0,A AGRAHARA,Village Beat No 30..,2018,2
1,A AGRAHARA,Village Beat No 30..,2019,2
2,A AGRAHARA,Village Beat No 30..,2020,1
3,A AGRAHARA,Village Beat No 30..,2021,1
4,A AGRAHARA,Village Beat No 30..,2022,2
5,A AGRAHARA,Village Beat No 30..,2023,4
6,A AGRAHARA,Village Beat No 30..,2024,1
7,A B C,51st TOWN BEAT..,2016,13
8,A B C,51st TOWN BEAT..,2017,9
9,A B C,51st TOWN BEAT..,2018,6
10,A B C,51st TOWN BEAT..,2019,2
11,A B C,51st TOWN BEAT..,2020,3
12,A B C,51st TOWN BEAT..,2021,2
13,A B C,51st TOWN BEAT..,2022,1
14,A B C,51st TOWN BEAT..,2023,1
15,A CHOLENAHALLI,New Village Beat 20..,2017,1
16,A CHOLENAHALLI,New Village Beat 20..,2018,13
17,A CHOLENAHALLI,New Village Beat 20..,2019,3
18,A CHOLENAHALLI,New Village Beat 20..,2021,1
19,A CHOLENAHALLI,New Village Beat 20..,2022,1
20,A CHOLENAHALLI,New Village Beat 20..,2023,5
21,A CHOLENAHALLI,New Village Beat 20..,2024,1
22,A CHOLENAHALLY,V BEAT 20..,2016,2
23,A CHOLENAHALLY,V BEAT 20..,2017,1
24,A CHOLENAHALLY,V BEAT 20..,2018,1
25,A CHOLENAHALLY,V BEAT 20..,2020,1
26,A CHOLENAHALLY,V BEAT 20..,2021,3
27,A D COLONY,6TH TOWN BEAT..,2017,1
28,A DEVARAHALLI VILLAGE,14..,2022,4
29,A DEVARAHALLI VILLAGE,14..,2023,3
30,A K CALONY,New Town Beat 41..,2017,9
31,A K CALONY,New Town Beat 41..,2018,19
32,A K CALONY,New Town Beat 41..,2019,7
33,A K CALONY,New Town Beat 41..,2020,4
34,A K CALONY,New Town Beat 41..,2021,11
35,A K CALONY,New Town Beat 41..,2022,17
36,A K CALONY,New Town Beat 41..,2023,20
37,A K CALONY,New Town Beat 41..,2024,7
38,A K CALONY,T BEAT 6..,2016,21
39,A K CALONY,T BEAT 6..,2017,13
40,A K CALONY,T BEAT 6..,2021,2
41,A K COLLONI,KOTE BEAT 04..,2016,18
42,A K COLLONI,KOTE BEAT 04..,2017,6
43,A K COLLONI,KOTE BEAT 04..,2018,14
44,A K COLLONI,KOTE BEAT 04..,2019,14
45,A K COLLONI,KOTE BEAT 04..,2020,9
46,A K COLLONI,KOTE BEAT 04..,2021,6
47,A K COLLONI,KOTE BEAT 04..,2022,7
48,A K COLLONI,KOTE BEAT 04..,2023,18
49,A K COLLONI,KOTE BEAT 04..,2024,3
50,A K COLONY,1..,2016,25
51,A K COLONY,1..,2017,30
52,A K COLONY,1..,2018,21
53,A K COLONY,1..,2019,21
54,A K COLONY,1..,2020,19
55,A K COLONY,1..,2021,38
56,A K COLONY,1..,2022,49
57,A K COLONY,1..,2023,24
58,A K COLONY,1..,2024,14
59,A K COLONY,27th TOWN BEAT..,2020,1
60,A K COLONY,27th TOWN BEAT..,2021,2
61,A K COLONY,27th TOWN BEAT..,2022,1
62,A K COLONY,27th TOWN BEAT..,2023,1
63,A K COLONY,KOTE BEAT  4..,2016,1
64,A K COLONY,KOTE BEAT  4..,2017,1
65,A K COLONY,KOTE BEAT  4..,2018,2
66,A K COLONY,KOTE BEAT  4..,2019,2
67,A K COLONY,KOTE BEAT  4..,2020,3
68,A K COLONY,KOTE BEAT  4..,2021,3
69,A K COLONY,KOTE BEAT  4..,2022,9
70,A K COLONY,KOTE BEAT  4..,2023,4
71,A KATIHALLI,New Beat 43..,2018,1
72,A KATIHALLI,New Beat 43..,2019,1
73,A KATIHALLI,New Beat 43..,2021,1
74,A MALLAPURA,New Village Beat 03..,2017,2
75,A MALLAPURA,New Village Beat 03..,2019,1
76,A MALLAPURA,New Village Beat 03..,2021,6
77,A MALLAPURA,New Village Beat 03..,2023,2
78,A MOTHAKAPALLI,019TH VILLAGE BEAT..,2016,3
79,A MOTHAKAPALLI,019TH VILLAGE BEAT..,2017,1
80,A MOTHAKAPALLI,019TH VILLAGE BEAT..,2018,2
81,A MOTHAKAPALLI,019TH VILLAGE BEAT..,2019,3
82,A MOTHAKAPALLI,019TH VILLAGE BEAT..,2021,1
83,A MOTHAKAPALLI,019TH VILLAGE BEAT..,2022,1
84,A NARAYANAPURA,BEAT 7..,2016,14
85,A NARAYANAPURA,BEAT 7..,2017,18
86,A NARAYANAPURA,BEAT 7..,2018,20
87,A NARAYANAPURA,BEAT 7..,2019,26
88,A NARAYANAPURA,BEAT 7..,2020,19
89,A NARAYANAPURA,BEAT 7..,2021,14
90,A NARAYANAPURA,BEAT 7..,2022,28
91,A NARAYANAPURA,BEAT 7..,2023,53
92,A NARAYANAPURA,BEAT 7..,2024,9
93,A P M C C BLOCK,3rd BEAT..,2016,3
94,A P M C C BLOCK,3rd BEAT..,2017,3
95,A P M C C BLOCK,3rd BEAT..,2018,5
96,A P M C C BLOCK,3rd BEAT..,2019,3
97,A P M C C BLOCK,3rd BEAT..,2020,11
98,A P M C C BLOCK,3rd BEAT..,2021,9
99,A P M C C BLOCK,3rd BEAT..,2022,12
100,A P M C C BLOCK,3rd BEAT..,2023,8
101,A P M C C BLOCK,3rd BEAT..,2024,3
102,A P M C MARKET,NEW TOWN BEAT 43..,2021,1
103,A P M C MARKET,NEW TOWN BEAT 43..,2022,1
104,A RAMANAHALLI,28th VILLAGE BEAT..,2019,5
105,A RAMANAHALLI,28th VILLAGE BEAT..,2020,2
106,A RAMANAHALLI,28th VILLAGE BEAT..,2021,1
107,A RAMANAHALLI,28th VILLAGE BEAT..,2022,5
108,A RAMANAHALLI,28th VILLAGE BEAT..,2023,1
109,A RANGAPURA,22nd VILLAGE BEAT..,2018,4
110,A RANGAPURA,22nd VILLAGE BEAT..,2021,1
111,A RANGAPURA,22nd VILLAGE BEAT..,2022,1
112,A SRIRAMANAHALLI,New Beat 21..,2018,1
113,A SRIRAMANAHALLI,New Beat 21..,2020,1
114,A SRIRAMANAHALLI,New Beat 21..,2023,3
115,A TALAGURU,Beat No 21..,2019,1
116,A TALAGURU,Beat No 21..,2020,1
117,A TALAGURU,Beat No 21..,2021,1
118,A TYPE,23 NEW BEAT..,2017,1
119,A TYPE,23 NEW BEAT..,2019,2
120,A TYPE,23 NEW BEAT..,2020,1
121,A V K COLLAGE ROAD,New Beat 25..,2017,5
122,A V K COLLAGE ROAD,New Beat 25..,2018,8
123,A V K COLLAGE ROAD,New Beat 25..,2019,8
124,A V K COLLAGE ROAD,New Beat 25..,2020,5
125,A V K COLLAGE ROAD,New Beat 25..,2021,2
126,A V K COLLAGE ROAD,New Beat 25..,2022,9
127,A V K COLLAGE ROAD,New Beat 25..,2023,3
128,A VENKATAPURA,Beat No 26..,2018,1
129,A VENKATAPURA,Beat No 26..,2020,3
130,A VENKATAPURA,Beat No 26..,2021,1
131,A VENKATAPURA,Beat No 26..,2022,3
132,A VENKATAPURA,Beat No 26..,2023,1
133,A VENKATAPURA,Beat No 26..,2024,3
134,A' COOKS ROAD,1C  BEAT..,2016,39
135,A' COOKS ROAD,1C  BEAT..,2017,9
136,A. MOTHAKAPALLI,00 TH VILLAGE BEAT..,2021,2
137,A. MOTHAKAPALLI,00 TH VILLAGE BEAT..,2022,1
138,A. RANGAPURA,9th VILLAGE BEAT..,2016,9
139,A. RANGAPURA,9th VILLAGE BEAT..,2017,8
140,A. RANGAPURA,9th VILLAGE BEAT..,2018,6
141,A. RANGAPURA,9th VILLAGE BEAT..,2020,2
142,A. RANGAPURA,9th VILLAGE BEAT..,2021,2
143,A. RANGAPURA,9th VILLAGE BEAT..,2023,2
144,A.G.BLOCK,1..,2016,10
145,A.G.BLOCK,1..,2017,33
146,A.G.BLOCK,1..,2018,24
147,A.G.BLOCK,1..,2019,37
148,A.G.BLOCK,1..,2020,20
149,A.G.BLOCK,1..,2021,12
150,A.G.BLOCK,1..,2022,7
151,A.G.BLOCK,1..,2023,10
152,A.G.BLOCK,1..,2024,2
153,A.M.HALLLI,Village Beat No 4..,2016,13
154,A.M.HALLLI,Village Beat No 4..,2017,9
155,A.M.HALLLI,Village Beat No 4..,2022,4
156,A.M.HALLLI,Village Beat No 4..,2023,1
157,A.M.LANE,BEAT 2..,2016,7
158,A.P.M.C YARD,BEAT 08..,2016,10
159,A.P.M.C YARD,BEAT 08..,2017,4
160,A.P.M.C YARD,BEAT 08..,2018,3
161,A.P.M.C YARD,BEAT 08..,2019,6
162,A.P.M.C YARD,BEAT 08..,2021,6
163,A.P.M.C YARD,BEAT 08..,2022,9
164,A.P.M.C YARD,BEAT 08..,2023,5
165,A.P.M.C YARD,BEAT 08..,2024,1
166,A.R.S FARM,40..,2022,2
167,A.V ROAD TO DODDAPET CIRCLE,2 ND BEAT..,2017,16
168,A.V ROAD TO DODDAPET CIRCLE,2 ND BEAT..,2018,22
169,A.V ROAD TO DODDAPET CIRCLE,2 ND BEAT..,2019,28
170,A.V ROAD TO DODDAPET CIRCLE,2 ND BEAT..,2020,17
171,A.V ROAD TO DODDAPET CIRCLE,2 ND BEAT..,2021,15
172,A.V ROAD TO DODDAPET CIRCLE,2 ND BEAT..,2022,15
